cr_id,abuse_ct,age_off_comp,civil_ct,complaint_date,corrupt_ct,num_awards,num_coindicated,num_complaints,numwitnesses,operations_ct,substance_ct,time_on_force,discipline,not_operations,injury,administrator,copa_style,search,reform,officer_filed_False,officer_filed_True,officer_filed_Unknown,officer_gender_FEMALE,officer_gender_MALE,officer_race_ASIAN/PACIFIC ISLANDER,officer_race_BLACK,officer_race_HISPANIC,officer_race_NATIVE AMERICAN/ALASKAN NATIVE,officer_race_WHITE
280273,6.0,18748,1.0,2002-05-01,5.0,2.0,1,19.0,0.0,7.0,0.0,7093.0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
1034550,9.0,17952,2.0,2010-03-12,5.0,23.0,1,20.0,2.0,4.0,0.0,5379.0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
273674,8.0,10412,1.0,2001-08-06,2.0,37.0,1,18.0,0.0,6.0,0.0,2040.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
313105,3.0,15846,0.0,2006-05-21,1.0,19.0,1,8.0,0.0,4.0,0.0,1791.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
278624,6.0,20509,0.0,2002-02-25,0.0,6.0,1,13.0,0.0,7.0,0.0,7119.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
310776,11.0,14988,0.0,2006-01-22,1.0,32.0,1,17.0,0.0,4.0,0.0,3358.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1006078,6.0,15853,2.0,2007-05-28,2.0,18.0,1,36.0,1.0,26.0,0.0,6118.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
272135,3.0,14772,2.0,2001-06-13,0.0,14.0,1,19.0,0.0,14.0,0.0,4936.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1033714,0.0,15378,0.0,2010-02-07,0.0,36.0,4,5.0,17.0,3.0,0.0,1931.0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0
283536,10.0,12653,8.0,2002-08-23,0.0,39.0,3,26.0,0.0,8.0,0.0,3385.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
309814,6.0,9458,20.0,2005-11-23,0.0,140.0,4,31.0,0.0,5.0,0.0,422.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1019679,0.0,10839,1.0,2008-09-04,0.0,33.0,2,1.0,6.0,0.0,0.0,675.0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
1047148,22.0,17003,2.0,2011-07-22,2.0,31.0,2,36.0,10.0,10.0,0.0,5799.0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1067387,10.0,12821,5.0,2014-02-07,0.0,100.0,1,26.0,1.0,11.0,0.0,3392.0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
285448,5.0,16369,3.0,2002-11-01,4.0,7.0,3,17.0,0.0,4.0,1.0,6158.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
1021127,4.0,15638,2.0,2008-10-25,0.0,19.0,1,15.0,0.0,8.0,0.0,2217.0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
1027628,0.0,10037,0.0,2009-06-25,0.0,6.0,1,1.0,2.0,0.0,1.0,332.0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
311649,0.0,18332,0.0,2006-03-11,0.0,2.0,1,1.0,0.0,1.0,0.0,6977.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
276817,9.0,15314,0.0,2001-12-05,0.0,5.0,1,15.0,0.0,6.0,0.0,5497.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1016278,1.0,13274,0.0,2008-05-05,1.0,18.0,1,7.0,2.0,4.0,0.0,1624.0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
278809,6.0,13213,2.0,2002-03-06,1.0,49.0,1,20.0,0.0,9.0,1.0,1283.0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
1050302,7.0,17092,9.0,2011-11-28,1.0,17.0,1,24.0,1.0,7.0,0.0,7567.0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
304711,3.0,10592,8.0,2005-04-08,1.0,26.0,3,22.0,0.0,9.0,0.0,1702.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
280380,10.0,18388,2.0,2002-05-06,1.0,1.0,1,23.0,0.0,9.0,1.0,7098.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1006034,1.0,19867,0.0,2007-05-25,2.0,1.0,1,6.0,7.0,1.0,2.0,9216.0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
282262,0.0,21008,0.0,2002-07-11,0.0,3.0,1,1.0,0.0,1.0,0.0,10823.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
301360,8.0,18187,2.0,2004-10-17,3.0,43.0,3,26.0,0.0,12.0,0.0,2904.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1000209,3.0,14885,1.0,2006-10-04,2.0,25.0,2,12.0,11.0,6.0,0.0,3347.0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1068075,31.0,16509,15.0,2014-03-19,11.0,74.0,1,82.0,2.0,25.0,0.0,7228.0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
315435,10.0,17781,8.0,2006-09-11,0.0,33.0,2,23.0,0.0,5.0,0.0,3292.0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
1003601,3.0,11009,6.0,2007-02-22,0.0,39.0,2,24.0,0.0,14.0,1.0,1459.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
284380,6.0,21814,0.0,2002-09-22,5.0,1.0,1,16.0,0.0,5.0,0.0,9393.0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
301621,4.0,19294,0.0,2004-10-28,0.0,6.0,1,9.0,0.0,5.0,0.0,9740.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
